wave,flux
3945.641,0.9456492
3946.603,0.9720793
3947.563,0.9850045
3948.525,0.9817796
3949.486,0.97091
3950.447,0.9755616
3951.408,0.9690701
3952.369,0.9572927
3953.33,0.9530479
3954.292,0.9582513
3955.253,0.9795677
3956.214,0.9932277
3957.175,0.9964571
3958.136,0.9878325
3959.097,0.9662727
3960.058,0.9371679
3961.02,0.9394581
3961.98,0.915062
3962.942,0.8740649
3963.903,0.8407045
3964.864,0.7915692
3965.825,0.7321265
3966.786,0.6740617
3967.747,0.6238176
3968.708,0.5950859
3969.67,0.6042854
3970.631,0.6516042
3971.592,0.7397478
3972.553,0.8096842
3973.514,0.882099
3974.475,0.910693
3975.437,0.9525817
3976.397,0.9794406
3977.359,0.9975902
3978.32,1.003792
3979.281,0.996734
3980.242,0.9925778
3981.203,0.9896445
3982.164,0.9814513
3983.125,0.9719884
3984.087,0.964137
3985.048,0.9868023
3986.009,0.99843
3986.97,0.9918394
3987.931,0.9948334
3988.892,1.004399
3989.854,1.01826
3990.814,1.014418
3991.776,1.015112
3992.737,1.014925
3993.698,1.001688
3994.659,0.9874167
3995.62,0.9898999
3996.581,0.9944916
3997.542,0.9890102
3998.504,0.9974901
3999.465,0.9823743
4000.426,0.9828792
4001.387,0.9917148
4002.348,0.9793317
4003.309,0.9769863
4004.271,0.991159
4005.231,0.9967318
4006.193,0.9939952
4007.154,0.9953056
4008.115,1.006603
4009.076,1.011136
4010.037,1.025537
4010.998,1.025033
4011.959,1.021256
4012.921,1.013311
4013.882,1.002102
4014.843,1.00054
4015.804,0.9883119
4016.765,0.9752166
4017.726,0.97154
4018.688,0.9751592
4019.648,0.9871313
4020.61,1.002232
4021.571,1.009468
4022.532,1.012
4023.493,1.017533
4024.454,1.015883
4025.415,0.9990739
4026.376,0.9923181
4027.338,0.9911916
4028.299,0.9935197
4029.26,0.9966443
4030.221,0.9833313
4031.182,0.9785084
4032.143,0.9588094
4033.104,0.9459496
4034.065,0.9462698
4035.027,0.9494362
4035.988,0.9525331
4036.949,0.9651824
4037.91,0.9764935
4038.871,0.9947374
4039.832,0.9972093
4040.793,0.9960823
4041.755,0.9919276
4042.716,0.9937878
4043.677,0.9864044
4044.638,0.9711952
4045.599,0.9758103
4046.56,0.9694574
4047.521,0.9618498
4048.482,0.9645026
4049.444,0.9752826
4050.405,0.9815323
4051.366,0.9817026
4052.327,0.9869121
4053.288,0.9901408
4054.249,0.9902586
4055.21,0.9907447
4056.172,0.988973
4057.133,0.983798
4058.094,0.9920709
4059.055,0.9961663
