mass,O3,N2,sSFR
9.3,0.63,-1.23,0.6063348736803036
9.44,0.65,-1.24,-0.4313994167424706
9.38,0.68,-1.23,0.2683598779253842
9.23,0.69,-1.23,0.41933532019039177
9.39,0.71,-1.24,1.0134633527881185
9.15,0.74,-1.22,1.3156805828624485
9.1,0.77,-1.24,0.9496052326031261
9.33,0.33,-1.21,-1.216056587329044
9.03,0.38,-1.2,-1.5528784879587665
8.76,0.41,-1.2,-0.8569102515971299
9.01,0.43,-1.21,-0.5048502602691674
9.26,0.45,-1.21,-0.5610302245458172
9.35,0.47,-1.21,-1.0712467859665757
9.21,0.49,-1.21,-0.7476020527446909
9.59,0.51,-1.21,-1.084850183975222
9.51,0.53,-1.21,-0.5755017704142773
9.22,0.55,-1.21,-0.17860757245750492
9.35,0.57,-1.21,-0.003647401422121277
9.38,0.59,-1.21,0.06560408289468
8.94,0.61,-1.21,0.15342210811905943
9.14,0.62,-1.21,-0.3918123144675558
9.29,0.65,-1.21,0.8613698907327567
9.16,0.67,-1.2,0.9792493617437401
9.61,0.69,-1.21,-0.2940293252262638
9.24,0.71,-1.22,0.26785610443644536
8.89,0.19,-1.2,-0.8486076605177981
9.58,0.24,-1.19,-1.538607240901099
9.49,0.36,-1.19,-1.2595508451717787
8.8,0.38,-1.2,-0.5212465952317125
9.3,0.41,-1.19,-1.1860568543578527
9.97,0.43,-1.19,-1.1374913497544608
9.53,0.45,-1.19,-0.9985208113608248
8.99,0.47,-1.19,-0.07618592252263845
9.24,0.49,-1.19,-0.12941007366156576
8.98,0.51,-1.19,-0.07151452207935804
9.05,0.53,-1.19,-0.07687233823669537
9.1,0.55,-1.19,-0.122276781630557
9.24,0.57,-1.19,0.274547979008938
9.48,0.59,-1.19,0.07022880498530881
9.15,0.61,-1.19,0.6662416941080895
9.09,0.64,-1.19,0.5301359103316798
9.36,0.64,-1.18,1.0962145009986184
9.35,0.67,-1.19,0.7864030533525597
9.18,0.71,-1.19,1.0617951451074052
9.66,0.24,-1.17,-1.7057573207154721
9.4,0.35,-1.17,-0.9228783465532988
9.58,0.37,-1.17,-1.3758799507573674
8.79,0.41,-1.16,-0.5347274394924089
9.38,0.43,-1.17,-0.9176021290386362
9.17,0.45,-1.17,-0.7076020908916636
9.31,0.47,-1.17,-0.9675777411477622
9.22,0.49,-1.17,-0.4418489993878527
9.39,0.51,-1.17,-0.17515649906324704
9.01,0.53,-1.17,-0.1291866420507226
9.49,0.55,-1.17,-0.37272849443226974
9.4,0.57,-1.17,0.17749217801984507
9.18,0.59,-1.17,0.2624794608982306
9.27,0.61,-1.17,0.07635252228393341
9.6,0.62,-1.17,0.2469549565114928
9.37,0.65,-1.17,0.45736937393542654
8.78,0.67,-1.17,0.676366284228024
9.21,0.76,-1.16,0.8372748143788922
8.65,0.18,-1.16,-1.1728783735178485
9.61,0.2,-1.16,-1.5686069738722903
9.14,0.26,-1.15,-0.6348503747100853
9.27,0.29,-1.15,-1.1238724202364363
